	direccion	latitude	longitude
1	Juan B. Alberdi 3000, Flores	-38.9506509	-68.2244769
2	Terrada 0, Flores	-34.620757	-58.4725402
3	Puan 200, Caballito	-34.6252609	-58.4478019
4	Martin De Gainza 500, Caballito	-34.6209279	-58.4457295
5	Avd. Córdoba 3100, Barrio Norte	-34.599719	-58.3963575
6	Av. Córdoba 5500, Palermo Hollywood	26.0112014	-80.1494901
7	Gascón 1500, Palermo	-34.5930757	-58.4228023
8	José Hernandez 1300, Belgrano	-34.566238	-58.4544048
9	Ibera 1900, Nuñez	-34.5506961	-58.4587659
0	Mario Bravo 1100, Palermo	-38.019478	-57.6257457
1	Quintana 4600, Saavedra	-34.5447309	-58.4801649
2	Avenida Las Heras 3800, Palermo	-27.4767517	-59.0007908
3	Soler 3200, Palermo	-34.5860362	-58.4260138
4	Fitz Roy 2200, Palermo Hollywood	26.0112014	-80.1494901
5	Borges 2200, Palermo Soho	-34.5846849	-58.42434
6	Humboldt 2200, Palermo Hollywood	26.0112014	-80.1494901
7	Sanchez De Bustamante 1100, Palermo	-34.5832644	-58.4019405
8	Zapiola 4400, Saavedra	-34.5459679	-58.4781099
9	Honduras 4100, Palermo Soho	-34.5900107	-58.4281592
0	Av. Niceto Vega 5600, Palermo Hollywood	26.0112014	-80.1494901
1	Av. Diaz Velez 4600, Parque Centenario	-34.6087573	-58.4298324
2	Crisologo Larralde 2400, Nuñez	-34.5489317	-58.4679175
3	Eva Peron 1100, Caballito	-34.6301391	-58.4408567
4	Avenida Francisco Bilbao 3000, Flores	-34.6385444	-58.4646095
5	Av. Honorio Pueyrredon 400, Caballito	-34.6148906	-58.44074109999999
6	Avenida Juan De Garay 600, San Telmo	-34.6245698	-58.3738924
7	Av. Regimiento Patricios 200, Barracas	-34.631591	-58.370191
8	Av. Independencia 4000, Caballito	-34.6214092	-58.42219689999999
9	Olaguer Y Feliu, Virrey 2600, Belgrano	-34.5684173	-58.453245
0	Viel 600, Caballito	-34.6240493	-58.4317495
1	Soler 5700, Palermo Hollywood	26.0112014	-80.1494901
2	José Bonifacio 100, Caballito	-34.6259802	-58.4282948
