	direccion	latitude	longitude
4	Zabala 3500, Chacarita	-34.5798287	-58.4576152
5	Zabala 3500, Colegiales	-34.5785136	-58.4570761
6	Jose. P. Varela 4400, Villa Devoto	-34.6073633	-58.51192140000001
7	Manzanares 3200, Saavedra	-34.5510489	-58.4762299
8	Coronel Ramón Falcón 1500, Caballito	-34.625042	-58.44947939999999
9	Av. Pedro Goyena 800, Caballito	-34.6263829	-58.4389419
0	Av Luis Maria Campos 1600, Belgrano	-34.5622598	-58.4446181
1	Mariano Acosta 0, Floresta	-34.6368597	-58.4784426
2	Bartolome Mitre 1600, Congreso	-40.8118395	-62.9929306
3	Laprida 1500, Barrio Norte	-34.591885	-58.4052702
4	Gurruchaga 2100, Palermo Soho - Palermo	-34.5862592	-58.4246868
5	Independencia 3200, San Cristobal	19.3100305	-99.6498432
6	Venancio Flores 3700, Floresta	-34.6316636	-58.4796054
7	Chacabuco 1300, San Telmo	-34.623201	-58.3754819
8	Malvinas Argentinas 200, Caballito	-34.6267579	-58.4509119
9	García Del Río 2600, Belgrano	-34.5487871	-58.46990049999999
0	Avenida Córdoba 700, Centro / Microcentro	0	0
1	Marcelo T De Alvear 1300, Recoleta	-34.5973057	-58.3961075
2	Gabriela Mistral 3100, Villa Pueyrredón	-34.5887646	-58.5039001
3	D.colodrero 3500, Villa Urquiza	-34.5637955	-58.4933304
4	Dr. Pedro Ignacio Rivera 5800, Villa Urquiza	-34.5765479	-58.4963641
5	Avenida Monroe 5600, Villa Urquiza	-34.5699271	-58.4788292
6	Pergamino 100, Flores	-34.6496406	-58.4606067
7	Juan Bautista Alberdi 1600, Caballito	-34.6269424	-58.4509407
8	Angel Carranza 2200, Palermo Hollywood - Palermo	38.1156879	13.3612671
9	Grito De Asencio 3800, Pompeya	-34.6484355	-58.4161088
0	Pacheco De Melo 2900, Recoleta	-34.5855172	-58.40353829999999
1	Marcelo T De Alvear 1100, Retiro	-34.5965096	-58.379886
2	Julian Alvarez 1400, Palermo Viejo - Palermo	38.1156879	13.3612671
3	Juncal 1200 9º, Recoleta	-34.5928185	-58.3844444
4	Av Federico Lacraze 3500, Colegiales	-34.5804885	-58.45096669999999
5	Juramento 1500, Belgrano	-34.5566859	-58.4474795
6	Beruti 3000, Recoleta	-34.5898799	-58.4062249
7	Avenida Melián 3500, Saavedra	-34.5511536	-58.4828659
8	Jerónimo Salguero 1100, Barrio Norte	-34.59780730000001	-58.4190036
9	S. De Bustamante 0, Almagro	-34.6107126	-58.4144976
0	Av. Las Heras 2900, Recoleta	-34.5837587	-58.4017273
1	Tacuari 500, San Telmo	-34.6140768	-58.3790352
2	Soler 5900, Palermo Hollywood - Palermo	38.1156879	13.3612671
3	Mendoza 4800, Villa Urquiza	-34.5744028	-58.4798985
4	Zapiola 2100, Belgrano	-34.5662069	-58.4633349
5	Quesada 4900, Villa Urquiza	-34.567003	-58.4872318
6	Peña 3100, Barrio Norte	-34.5856272	-58.4058319
7	Scalabrini Ortiz 1700, Palermo Soho - Palermo	38.1156879	13.3612671
8	Ciudad De La Paz 200, Palermo	-34.5753369	-58.4401979
9	Valdenegro 4700, Saavedra	-34.5523159	-58.4970729
0	Doblas 1700, Boedo	-34.6361015	-58.427317
1	Arcos 1700, Belgrano	-34.5644075	-58.4506314
2	Av. P. Colon Al 1100, E/ Av. S. Juan Y Humberto 1°, San Telmo	0	0
3	Corrientes Av. 4900, Almagro	-34.603035	-58.4225539
4	Ecuador 200, Once	-34.6093519	-58.4089184
5	Juana Manso 1800, Puerto Madero	-34.619008	-58.3615117
6	Fernandez 300, Floresta	-34.7627932	-55.6698221
7	Humahuaca 4300, Almagro	-34.6015919	-58.4253179
8	Juan Francisco Segui 3500, Palermo	-34.5738852	-58.4206563
9	Dr. Tomas M. De Anchorena 1400, Recoleta	-34.5933335	-58.4051163
0	Vicente Lopez 1800, Barrio Norte	-34.5910409	-58.3908578
1	Sanchez De Bustamante 2400, Barrio Norte	-34.5855449	-58.4036909
2	Giribone 2300, Villa Urquiza	-34.5796932	-58.47365720000001
3	Blanco Encalada 5200, Villa Urquiza	-34.5762939	-58.4874439
4	Peña 2600, Recoleta	-34.5887449	-58.4008239
5	Uspallata 2100, Parque Patricios	-34.6368559	-58.3910189
6	Sucre 2300, Belgrano	-34.5633881	-58.4554936
7	Loyola 400, Villa Crespo	-34.5972578	-58.4344133
8	Zapiola 2000 E/juramento Y Echeverría, Belgrano	0	0
9	Solis E/ Mexico Y Chile, Congreso	0	0
0	Rodriguez Peña 1200 E/juncal Y Arenales, Recoleta	0	0
1	Avenida Libertador 5900, Belgrano	-24.1999503	-65.2817933
2	Av De La Independencia 1300, Balvanera	0	0
3	Zapata 500, Colegiales	-34.5725409	-58.4427052
4	Avenida Ricardo Balbín 2300, Belgrano	-51.6116075	-69.2335834
5	Vedia 1600, Nuñez	-34.5358038	-58.4666792
6	Manuel Quintana 400 E/callao, Recoleta	0	0
7	Avenida Pedro Goyena 1600, Caballito	-34.6282469	-58.4501629
8	Carlos Calvo 1500, San Telmo	-34.619324	-58.3671284
9	Teniente General Juan Domingo Perón 2400, Balvanera	-34.6074999	-58.4004419
0	Senillosa 900, Parque Chacabuco	-34.6271069	-58.4280962
1	Pasco 200, Balvanera	-34.6117329	-58.3972669
2	Granaderos 600, Flores	-34.6211669	-58.4622779
3	Av. Asamblea 100, Parque Chacabuco	-34.6315511	-58.4271886
4	Humberto Primo 300 E/balcarce Y Defensa, San Telmo	0	0
5	Av. Entre Rios 2100, Parque Patricios	-34.6315661	-58.3907108
6	Pasco 1100, Balvanera	-34.6147456	-58.397461
7	Thames 2300, Palermo	-34.5830329	-58.4241939
8	Av. F De Olazabal 5400, Villa Urquiza	0	0
9	Sarmiento 1700, Centro / Microcentro	-27.4317989	-58.9651
0	Muñiz 1600, Boedo	-34.6320999	-58.4241209
1	Avenida San Juan 4200, Boedo	-34.6267019	-58.4239509
